quantile,coverage,accuracy
0.000000000000000000e+00,5.000000237487256527e-04,1.000000000000000000e+00
5.000000074505805969e-02,5.000000074505805969e-02,9.200000166893005371e-01
1.000000014901161194e-01,1.000000014901161194e-01,9.200000166893005371e-01
1.500000059604644775e-01,1.500000059604644775e-01,9.100000262260437012e-01
2.000000029802322388e-01,2.000000029802322388e-01,9.075000286102294922e-01
2.500000000000000000e-01,2.500000000000000000e-01,8.939999938011169434e-01
3.000000119209289551e-01,3.000000119209289551e-01,8.916666507720947266e-01
3.499999940395355225e-01,3.499999940395355225e-01,8.928571343421936035e-01
4.000000059604644775e-01,4.000000059604644775e-01,8.912500143051147461e-01
4.499999880790710449e-01,4.499999880790710449e-01,8.911111354827880859e-01
5.000000000000000000e-01,5.000000000000000000e-01,8.920000195503234863e-01
5.500000119209289551e-01,5.500000119209289551e-01,8.972727060317993164e-01
6.000000238418579102e-01,6.000000238418579102e-01,8.966666460037231445e-01
6.499999761581420898e-01,6.499999761581420898e-01,8.938461542129516602e-01
6.999999880790710449e-01,6.999999880790710449e-01,8.928571343421936035e-01
7.500000000000000000e-01,7.500000000000000000e-01,8.933333158493041992e-01
8.000000119209289551e-01,8.000000119209289551e-01,8.943750262260437012e-01
8.500000238418579102e-01,8.500000238418579102e-01,8.941176533699035645e-01
8.999999761581420898e-01,8.999999761581420898e-01,8.949999809265136719e-01
9.499999880790710449e-01,9.499999880790710449e-01,8.984210491180419922e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.024999737739562988e-01
